title,url,mood,language,singer,pace,pop
Aao Na,https://youtu.be/q0I0YHmecJI,disgust,hindi,suzonn,medium,"69,000"
Mitwa,https://youtu.be/ru_5PA8cwkE,disgust,hindi,shankar mahadevan,medium,"101,000,000"
Saajna,https://youtu.be/hlRTxA10eRA,disgust,hindi,falak shabbir,medium,"26,000,000"
Pashmina Dhaago Ke Sang,https://youtu.be/uxTXp0-iZrY,disgust,hindi,amit trivedi,slow,"20,000,000"
Iktara,https://youtu.be/fSS_R91Nimw,disgust,hindi,kavita seth,slow,"55,000,000"
Hai Junoon,https://youtu.be/_hEgNwyHlAU,joy,hindi,kk,medium,"40,000,000"
Matargashti,https://youtu.be/iid7cxx0keU,joy,hindi,mohit chauhan,medium,"94,000,000"
Love You Zindagi,https://youtu.be/bw7bVpI5VcM,joy,hindi,jasleen royal,medium,"92,000,000"
Jiya Re,https://youtu.be/xdOumVBRKp8,joy,hindi,neeti mohan,fast,"109,000,000"
Ainvayi Ainvayi,https://youtu.be/pElk1ShPrcE,joy,hindi,sunidhi chauhan,fast,"62,000,000"
Gulabo,https://youtu.be/bUTdUaVmj8o,joy,hindi,vishal dadlani,fast,"69,000,000"
Bom Diggy Diggy,https://youtu.be/yIIGQB6EMAM,joy,hindi,jasmin walia,fast,"939,000,000"
First Class,https://youtu.be/e8B0AzmXPV8,joy,hindi,arijit singh,fast,"164,000,000"
Subah Hone Na De,https://youtu.be/Y7G-tYRzwYY,joy,hindi,mika singh,fast,"189,000,000"
Khaabon Ke Parindey,https://youtu.be/R0XjwtP_iTY,fear,hindi,mohit chauhan,slow,"32,000,000"
Rafu,https://youtu.be/oS-0jES79d8,fear,hindi,ronkini gupta,slow,"747,000"
Sham,https://youtu.be/kl8T6tsOZJk,fear,hindi,amit trivedi,slow,"11,000,000"
Tum Ho Toh,https://youtu.be/I3rQkFFqCiI,fear,hindi,farhan akhtar,medium,"7,000,000"
Saibo,https://youtu.be/GtNrQy90Ih4,fear,hindi,shreya ghoshal,medium,"65,000,000"
Nachdi Phira,https://youtu.be/rZ4JfD-YdZY,fear,hindi,meghna mishra,slow,"32,000,000"
Nadaan Parindey,https://youtu.be/6MgsHSAcI9k,fear,hindi,mohit chauhan,medium,"55,000,000"
Rehna Tu,https://youtu.be/ZYGyuaEU2aA,love ,hindi,ar rehman,slow,"3,000,000"
Maahi Ve,https://youtu.be/S1aQhVUy_9g,love ,hindi,ar rehman,medium,"37,000,000"
Ishq Wala Love,https://youtu.be/VmH8tELQ3aE,love ,hindi,salim merchant,slow,"11,000,000"
Pehla Nasha,https://youtu.be/vFN3eNe0_Hs,love ,hindi,udit narayan,medium,"30,000,000"
Dilli Ki Ladki,https://youtu.be/H7InDLlhsJU,love ,hindi,Tanzeel Khan,slow,"15,000,000"
Mera Jahan,https://youtu.be/j9jlAww4nHQ,love ,hindi,gajendra verma,medium,"81,000,000"
Badal Pe Paon Hai,https://youtu.be/DmsOinqrPvQ,anger,hindi,hema sardesai,fast,"11,000,000"
Teri Baari,https://youtu.be/858lvkopFOw,anger,hindi,mohit chauhan,fast,"13,000,000"
Bhaag Milkha Bhaag,https://youtu.be/hc7IJO7fD78,anger,hindi,shankar ehsaan loy,fast,"18,000,000"
Aashayein,https://youtu.be/bmyv0nRkDmc,anger,hindi,kk,medium,"24,000,000"
Kar Har Maidaan Fateh,https://youtu.be/9iIX4PBplAY,anger,hindi,sukhwinder singh,fast,"175,000,000"
Lakshya,https://youtu.be/8DMF0U6xV78,anger,hindi,shankar mahadevan,medium,"47,000,000"
Kandhon Se Milte Hain Kandhe,https://youtu.be/s_-tthrE0Hg,anger,hindi,shankar mahadevan,medium,"48,000,000"
Shaabaashiyaan,https://youtu.be/Q3JMD4oaXlI,anger,hindi,shilpa rao,medium,"21,000,000"
Besabriyaan,https://youtu.be/UBBHpoW3AKA,anger,hindi,armaan malik,medium,"57,000,000"
Kholo Kholo,https://youtu.be/FIaUYKLg5S4,anger,hindi,raman mahadevan,medium,"4,000,000"
Bin Tere,https://youtu.be/JPZxMhZ4KDw,sadness,hindi,sunidhi chauhan,medium,"18,000,000"
Roke Na Ruke Naina,https://youtu.be/HyLCgkQtluw,sadness,hindi,arijit singh,slow,"130,000,000"
Tujhe Bhula Diya,https://youtu.be/-Hb2DeHvvEg,sadness,hindi,mohit chauhan,medium,"107,000,000"
Samjhawan,https://youtu.be/H2f7MZaw3Yo,sadness,hindi,arijit singh,medium,"193,000,000"
Kabira,https://youtu.be/jHNNMj5bNQw,sadness,hindi,arijit singh,medium,"364,000,000"
Tune Jo Na Kaha,https://youtu.be/dTu5dTEzVM4,sadness,hindi,mohit chauhan,medium,"56,000,000"
Kya Karoon,https://youtu.be/fBzMJAuaycQ,sadness,hindi,sanam,slow,"4,300,000"
Kal Ho Na Ho,https://youtu.be/g0eO74UmRBs,sadness,hindi,sonu nigam,slow,"259,000,000"
Pareshaan,https://youtu.be/9z1AIM09L10,sadness,hindi,suzonn,slow,"115,000"
Agar Tum Saath Ho,https://youtu.be/sK7riqg2mr4,sadness,hindi,alka yagnik,medium,"318,000,000"
